"gin_name","kana","price_yen","source_label","source_url","confidence","kind","context"
"AKAYANE CRAFT GIN HEART 秋","アカヤネ ハート アキ ジン","5280","酒販店","https://www.hasegawasaketen.com/eshop/products/detail/11728","90","meta.product:price:amount",""
"AKAYANE CRAFT GIN 美風","アカヤネ ビフウ ジン","4400","酒販店","https://shopping.kimijimaya.co.jp/view/item/000000007139","90","meta.price",""
"BEEFEATER Crown Jewel","ビーフィーター クラウンジュエル","9070","酒販店","https://www.miraido-onlineshop.com/item/5-beefeater-cj/","95","jsonld.price","{""@type"":""Offer"",""priceCurrency"":""JPY"",""price"":""9070"",""availability"":""InStock""}"
"CAMP Gin","キャンプ ジン","2310","酒販店","https://store.musashiya-net.co.jp/products/detail/23513","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/23513"",""priceCurrency"":""JPY"",""price"":2310,""availability"":""OutOfStock""}"
"CAORUNN Small Batch Scottish GIN","カルーン スモールバッチ ジン","2200","酒販店","https://www.suzusake.com/SHOP/02075.html","95","jsonld.price","{""@type"":""Offer"",""priceCurrency"":""JPY"",""price"":""2200"",""itemCondition"":""http://schema.org/NewCondition"",""availability"":""http://schema.org/InStock"",""seller"":{""@ty"
"COTSWOLDS Old Tom Gin","コッツウォルズ オールドトム ジン","4950","酒販店","https://store.musashiya-net.co.jp/products/detail/18026","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/18026"",""priceCurrency"":""JPY"",""price"":4950,""availability"":""InStock""}"
"CRAFT GIN PACHI PACHI","パチパチ ジン","935","酒販店","https://store.musashiya-net.co.jp/","48","text.yen","5 青森県/秋田県/岩手県 ¥1,045 ¥1,375 宮城県/山形県/福島県 ¥935 ¥1,265 茨城県/群馬県/栃木県/埼玉県/千葉県/神奈川県/東京都/山梨県 ¥935 ¥1,265 新潟県/長野県 ¥935 ¥1,265 静岡県"
"CRESCENT","クレセント","15000","ふるさと納税","https://www.furusato-tax.jp/product/detail/43202/5960606","95","jsonld.price","{""@type"":""Offer"",""price"":""15000"",""priceCurrency"":""JPY"",""seller"":{""@type"":""Organization"",""name"":""""}}"
"DRUMSHANBO GUNPOWDER IRISH GIN","ドラムシャンボ ガンパウダー ジン","5170","酒販店","https://store.musashiya-net.co.jp/products/detail/22941","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/22941"",""priceCurrency"":""JPY"",""price"":5170,""availability"":""OutOfStock""}"
"EMPRESS 1908 ELDERFLOWER ROSE GIN","エンプレス 1908 エルダーフラワー ローズ ジン","4363","酒販店","https://www.syurui.co.jp/products/8989","95","jsonld.price","{""@type"":""Offer"",""sku"":""8989"",""availability"":""http://schema.org/InStock"",""price"":4363,""priceCurrency"":""JPY"",""url"":""https://www.syurui.co.jp/products/8989?varian"
"EMPRESS 1908 GIN","エンプレス 1908 ジン","3890","酒販店","https://www.syurui.co.jp/products/4596","95","jsonld.price","{""@type"":""Offer"",""sku"":""4596"",""availability"":""http://schema.org/InStock"",""price"":3890,""priceCurrency"":""JPY"",""url"":""https://www.syurui.co.jp/products/4596?varian"
"ETHICAL GIN LOSS IS MORE","エシカル ロスイズモア ジン","4125","酒販店","https://field-to-table.jp/products/ethical-gin-loss-is-more-gin","90","meta.og:price:amount",""
"FOUR PILLARS Chakging Seasons Gin","フォーピラーズ チェンジングシーズンズ","4800","酒販店","https://store.musashiya-net.co.jp/products/detail/17718","95","jsonld.price","{""@type"":""Offer"",""url"":""https://store.musashiya-net.co.jp/products/detail/17718"",""priceCurrency"":""JPY"",""price"":""4800.00"",""itemCondition"":""http://schema.org/NewC"
"GARAPPA ~#1 CRAFT GIN~ 河童","ガラッパ 河童 ジン","3630","酒販店","https://store.shopping.yahoo.co.jp/kishuichibanya/cg-016.html","95","jsonld.price","{""@type"":""Offer"",""price"":3630,""priceCurrency"":""JPY"",""itemCondition"":""http://schema.org/NewCondition"",""url"":""https://store.shopping.yahoo.co.jp/kishuichibanya/cg"
"GIN nez -銀鼠-","ネ 銀鼠 ジン","10800","酒販店","https://store.shopping.yahoo.co.jp/nondonkai/10015847.html","95","jsonld.price","{""@type"":""Offer"",""price"":10800,""priceCurrency"":""JPY"",""itemCondition"":""http://schema.org/NewCondition"",""url"":""https://store.shopping.yahoo.co.jp/nondonkai/100158"
"GOTO GIN prototype‐x","ゴトジン プロトタイプ-x","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN prototype‐ｙ","ゴトジン プロトタイプ-y","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN the cacao","ゴトジン ザカカオ","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN the origin","ゴトジン ザオリジン","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN 間伏の秋朝映","ゴトジン まぶしのあきあさばえ","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN 高浜の潮騒","ゴトジン たかはまのしおさい","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN 春霞の野々切","ゴトジン はるがすみののぎり","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
"GOTO GIN 風薫る空の旅","ゴトジン かぜかおるそらのたび","5000","公式通販","https://shop.gotogin.jp/","48","text.yen","ース（会員限定） 五島つばき蒸溜所 スペシャル定期コース（会員限定） 通常価格 ¥5,000 (税込) 通常価格 セール価格 ¥5,000 (税込) 単価 / あたり 【受注販売】GOTOGIN 菰樽 （４斗樽サイズ／中味3,600ml付）"
